Department,Article,ProductName,ProductGroup,ProductType,ProductProperties,timestamp,target,segment
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-04,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-05,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-06,48,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-07,23,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-08,191,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-09,58,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-10,13,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-11,3,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-12,0,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-13,11,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-14,17,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-15,24,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-16,203,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-17,37,АТ Москва|TALTHA-BP0026
АТ Москва,TALTHA-BP0026,"ЧН003 NEW Грин Фьюжн, 25х1,75г (ДП)",Чай,Зеленый,"{""Вид"":""Deli Pack"",""Регион"":""Китай"",""Тип"":""Зеленый"",""Марка"":""NIKTEA"",""Код производителя"":""N003"",""Вкус"":""Натуральный"",""Ароматизированный"":""Нет""}",2023-02-18,0,АТ Москва|TALTHA-BP0026
