Департамент,Артикул,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07-forecast_lower,2025-07-forecast_mean,2025-07-forecast_upper,2025-08-forecast_lower,2025-08-forecast_mean,2025-08-forecast_upper,2025-09-forecast_lower,2025-09-forecast_mean,2025-09-forecast_upper,2025-10-forecast_lower,2025-10-forecast_mean,2025-10-forecast_upper,last_123_days_sum,forecast_123_days_mean,forecast_123_days_lower,forecast_123_days_upper
АТ Москва,CIMPCH-000133,0,0,0,0,0,0,0,0,0,0,0,0,4,20,14,30,15,9,70,57,33,69,20,42,0,0,278,0,43,336,0,7,290,0,23,315,164,59,0,1218
АТ Москва,CIMPCH-000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,2,1296,0,49,1342,0,40,1291,0,1,1294,480,91,0,5222
АТ Москва,CIMPCH-000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,3,155,0,36,189,0,9,156,0,7,159,15,55,0,659
АТ Москва,CIMPCH-000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,74,0,18,240,0,36,259,0,9,224,0,7,229,85,69,0,951
АТ Москва,CIMPCH-000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,94,109,174,0,48,357,0,69,378,0,115,414,12,322,631,397,553,0,1780
АТ Москва,CIMPCH-000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CIMPCH-000145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,141,0,38,190,0,0,139,0,0,148,13,17,0,618
АТ Москва,CIMPCH-000148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,152,0,36,188,0,9,155,0,7,158,6,52,0,653
АТ Москва,CIMPCH-000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,154,0,49,200,0,40,186,0,1,152,6,91,0,692
АТ Москва,CIMPCH-000150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81,204,450,832,1214,290,672,1054,325,695,1065,411,793,1175,289,2992,1476,4508
АТ Москва,CLAV00-P10001,2238,1760,1744,1750,1726,2263,1030,1684,1368,2230,947,1336,1691,1311,1429,1150,1340,1577,843,1761,869,766,717,373,0,93,5220,0,0,4848,0,0,4607,0,0,4906,2812,0,0,19581
АТ Москва,CLAV00-P10002,2522,1976,2057,1577,1447,867,673,482,518,813,278,474,637,674,777,434,768,688,78,614,352,216,168,26,0,125,5043,0,54,4972,0,36,4796,0,69,4987,783,284,0,19798
АТ Москва,CLAV00-P10003,480,641,743,474,569,799,438,217,396,716,98,498,376,672,593,379,456,563,203,620,208,216,157,163,0,380,3801,0,175,3596,0,170,3480,0,278,3699,750,1002,0,14576
АТ Москва,CLAV00-P10004,142,182,209,254,97,260,169,133,130,196,155,57,198,165,102,82,54,69,93,57,96,81,61,71,0,122,1125,0,85,1088,0,30,1000,0,101,1103,335,339,0,4316
АТ Москва,CLAV00-P10008,30,64,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,459,0,0,444,0,20,449,0,67,511,0,102,0,1864
АТ Москва,CLAV00-P10012,187,242,195,269,256,288,83,180,0,329,145,89,201,84,292,111,192,154,99,6,0,0,232,163,0,7,1095,0,0,1078,0,70,1123,0,17,1105,401,84,0,4400
АТ Москва,CLAV00-P10013,4,4,6,2,5,3,4,1,1,3,0,4,2,2,2,2,2,3,1,3,0,2,2,3,0,12,186,0,39,213,0,12,181,0,26,200,7,89,0,781
АТ Москва,CLAV00-P10015,2,0,4,2,0,2,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,458,0,0,443,0,21,449,0,69,511,0,105,0,1861
АТ Москва,CLAV00-P10016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АТ Москва,CLAV00-P10017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,33,545,0,6,502,0,17,529,0,50,0,2081
АТ Москва,CLAV00-P10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
